committee,count
Ways and Means Committee,332
Judiciary Committee,286
Energy and Commerce Committee,266
Natural Resources Committee,188
Foreign Affairs Committee,187
Oversight and Accountability Committee,169
Education and the Workforce Committee,166
Transportation and Infrastructure Committee,133
Armed Services Committee,116
Financial Services Committee,86
Agriculture Committee,64
Veterans,61
"Science, Space, and Technology Committee",51
Committee on House Administration,46
Rules Committee,31
Homeland Security and Governmental Affairs Committee,27
Foreign Relations Committee,20
Finance Committee,17
Energy and Natural Resources Committee,17
"Commerce, Science, and Transportation Committee",15
Homeland Security Committee,14
Budget Committee,11
"Health, Education, Labor, and Pensions Committee",10
Small Business Committee,10
Intelligence (Permanent Select) Committee,10
"Banking, Housing, and Urban Affairs Committee",7
"Agriculture, Nutrition, and Forestry Committee",6
Environment and Public Works Committee,6
Affairs Committee,5
Rules and Administration Committee,5
Appropriations Committee,3
Indian Affairs Committee,3
Small Business and Entrepreneurship Committee,1
Intelligence (Select) Committee,1
Ethics Committee,1
